frame_number,frame_path,face_detected,face_confidence,face_size_percent,face_centered,eye_contact_score,eyes_detected,head_pose_yaw,head_pose_pitch,brightness,emotion_happy,emotion_neutral,emotion_sad,emotion_fear,emotion_angry,emotion_surprise,emotion_disgust,dominant_emotion,emotion_confidence,positive_emotion_score,negative_emotion_score,video_confidence,assessment,feedback_message
1,captured_frames/frame_1.jpg,False,0.0,0.0,False,0.0,0,0.0,0.0,2.3951075424382715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,0.0,0.0,0.0,0.0,❌ No face detected,No face detected in frame
2,captured_frames/frame_2.jpg,True,95.0,13.64891975308642,False,20.0,0,-15.6875,-7.055555555555555,128.72554108796297,0.002914586802944541,32.11995315551758,67.86422729492188,0.00916681345552206,0.003741711378097534,1.1535627564285278e-08,1.2667685368554504e-13,sad,67.86422729492188,32.122867584228516,67.87713623046875,0.0,⚠️  Looking left (yaw: -15.7°),Don't look away from the screen (looking left)
3,captured_frames/frame_3.jpg,True,95.0,12.39626736111111,False,92.60355029585799,2,1.109375,2.638888888888891,137.1271349344136,0.045188240706920624,22.22325325012207,77.62349700927734,0.10711116343736649,0.0009479311411269009,1.68894501939576e-07,8.590076891988596e-13,sad,77.62349700927734,22.268444061279297,77.73155212402344,50.402488708496094,⚠️  Fair - Needs improvement,Good job! Keep it up
4,captured_frames/frame_4.jpg,True,95.0,13.191020447530862,False,99.8565965583174,2,1.203125,0.8611111111111125,139.60296633873457,0.01417896430939436,58.255821228027344,41.564884185791016,0.16208675503730774,0.003024480538442731,1.732663719167249e-07,7.097228620772666e-13,neutral,58.255821228027344,58.27000045776367,41.72999572753906,74.9046401977539,✅ Excellent - High confidence,Good job! Keep it up
5,captured_frames/frame_5.jpg,True,95.0,0.23630401234567902,False,20.0,0,26.9375,-19.5,141.44768711419752,7.442294003290328e-10,99.99983215332031,1.7872984244604595e-05,6.794530216236438e-11,0.00015475813415832818,1.3753533867344458e-09,2.576817793082648e-19,neutral,99.99983215332031,99.99982452392578,0.00017263117479160428,11.999931335449219,⚠️  Looking right (yaw: 26.9°),Don't look away from the screen (looking right)
6,captured_frames/frame_6.jpg,True,95.0,12.840277777777779,False,97.74709302325581,2,0.0,0.0,140.64521846064815,2.6129555702209473,59.6544075012207,33.0583610534668,4.54584264755249,0.12725962698459625,0.0011711681727319956,2.579031654903474e-09,neutral,59.6544075012207,62.26853561401367,37.73146057128906,76.4599609375,✅ Excellent - High confidence,Good job! Keep it up
7,captured_frames/frame_7.jpg,True,95.0,12.890094521604938,False,99.56479690522244,2,-0.171875,-0.027777777777778567,141.87749228395063,1.6645748615264893,62.73292922973633,24.753936767578125,10.486349105834961,0.35922032594680786,0.002988660242408514,9.053085503474279e-10,neutral,62.73292922973633,64.40049743652344,35.59950637817383,78.46621704101562,✅ Excellent - High confidence,Good job! Keep it up
8,captured_frames/frame_8.jpg,True,95.0,12.740933641975309,False,99.70817120622569,2,-0.15625,-0.2222222222222232,141.58441358024692,0.1233176440000534,6.359302997589111,73.54365539550781,15.077312469482422,4.8962178230285645,0.00019139310461468995,1.802658822214198e-08,sad,73.54365539550781,6.48281192779541,93.5171890258789,43.77295684814453,⚠️  Fair - Needs improvement,Good job! Keep it up
9,captured_frames/frame_9.jpg,True,95.0,14.58815586419753,False,20.0,0,-15.65625,-7.333333333333333,140.98364824459875,6.574946365134338e-09,99.99980163574219,9.724235133035108e-05,3.072587462238374e-10,0.00010145160922547802,1.0180370324519572e-08,1.294405697488392e-19,neutral,99.99980163574219,99.99980163574219,0.0001986942661460489,20.687419891357422,⚠️  Looking left (yaw: -15.7°),Don't look away from the screen (looking left)
10,captured_frames/frame_10.jpg,True,95.0,13.64891975308642,False,20.0,0,-15.8125,-7.055555555555555,140.88322964891975,6.253486062313129e-10,99.99981689453125,3.181970532750711e-05,4.110822099390177e-11,0.00015434982196893543,5.260051283428879e-10,1.6015804983127624e-21,neutral,99.99981689453125,99.99981689453125,0.0001861695636762306,20.374927520751953,⚠️  Looking left (yaw: -15.8°),Don't look away from the screen (looking left)
11,captured_frames/frame_11.jpg,True,95.0,13.64891975308642,False,20.0,0,-15.8125,-7.055555555555555,141.2881925154321,0.03333660587668419,11.273959159851074,76.50477600097656,12.17574405670166,0.012129316106438637,6.236447370611131e-05,2.3601990153943042e-11,sad,76.50477600097656,11.307356834411621,88.69264221191406,0.0,⚠️  Looking left (yaw: -15.8°),Don't look away from the screen (looking left)
